county_fips,county_name,state,cbsa_code,cbsa_name,geography_weeks,event_weeks,event_week_share,total_game_count,mean_revenue_all,mean_revenue_all_event_weeks,mean_revenue_all_non_event_weeks,event_vs_non_event_revenue_diff,mean_merchants_all,mean_merchants_all_event_weeks,mean_merchants_all_non_event_weeks,event_vs_non_event_merchants_diff
12011,Broward County,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",109,34,0.3119266055045872,74.0,-0.080746,-0.04629882352941177,-0.09636205333333334,0.05006322980392157,-0.005029954128440369,0.033440882352941174,-0.02247006666666667,0.055910949019607845
37183,Wake County,NC,39580,"Raleigh-Cary, NC",109,36,0.3302752293577982,70.0,-0.05822559633027522,-0.030430555555555554,-0.07193273972602739,0.04150218417047183,-0.052257431192660554,-0.04311333333333334,-0.05676684931506849,0.013653515981735156
39049,Franklin County,OH,18140,"Columbus, OH",109,37,0.3394495412844037,68.0,-0.118662376146789,-0.08430891891891892,-0.1363162361111111,0.052007317192192176,0.01676667889908257,0.06205054054054055,-0.006504194444444445,0.068554734984985
27123,Ramsey County,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",109,33,0.30275229357798167,68.0,-0.12064845871559635,-0.05845490909090909,-0.14765355263157898,0.08919864354066989,-0.06255688073394496,-0.019694242424242427,-0.08116828947368421,0.06147404704944178
36059,Nassau County,NY,35620,"New York-Newark-Jersey City, NY-NJ",109,33,0.30275229357798167,68.0,-0.08492266055045872,-0.07959757575757576,-0.08723486842105263,0.0076372926634768745,-0.10588522935779818,-0.07070727272727273,-0.12115986842105263,0.0504525956937799
34013,Essex County,NJ,35620,"New York-Newark-Jersey City, NY-NJ",109,36,0.3302752293577982,67.0,-0.10887014678899083,-0.02337722222222223,-0.1510310410958904,0.12765381887366817,-0.03672083027522936,0.016645055555555552,-0.06303825342465752,0.07968330898021307
34003,Bergen County,NJ,35620,"New York-Newark-Jersey City, NY-NJ",109,31,0.28440366972477066,33.0,-0.13366845871559632,-0.03990838709677419,-0.17093207692307688,0.1310236898263027,-0.04279948623853211,0.012275354838709677,-0.06468820512820514,0.07696355996691481
55009,Brown County,WI,24580,"Green Bay, WI",109,20,0.1834862385321101,20.0,-0.28678477064220187,-0.258995,-0.29302966292134836,0.03403466292134838,-0.04078156880733944,0.004767649999999998,-0.05101734831460674,0.05578499831460674
12031,Duval County,FL,27260,"Jacksonville, FL",109,17,0.1559633027522936,17.0,0.16855403669724772,0.2785235294117647,0.14823358695652175,0.13028994245524297,-0.012524284403669724,0.022597352941176468,-0.019014152173913043,0.041611505115089514
24033,Prince George's County,MD,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",109,17,0.1559633027522936,17.0,-0.5281534862385321,-0.5581176470588236,-0.5226166304347826,-0.03550101662404104,-0.11547226605504587,-0.09096470588235295,-0.12000083695652174,0.02903613107416879
25021,Norfolk County,MA,14460,"Boston-Cambridge-Newton, MA-NH",109,16,0.14678899082568808,17.0,-0.2602278899082569,-0.1940125,-0.2716197849462366,0.07760728494623662,-0.07657678899082568,-0.012675624999999998,-0.08757053763440859,0.07489491263440859
32005,Douglas County,NV,23820,"Gardnerville Ranchos, NV-CA",109,2,0.01834862385321101,2.0,-0.19962120183486237,-0.06290000000000001,-0.20217673831775698,0.13927673831775697,0.006225284403669725,0.191,0.002771551401869159,0.18822844859813084
