venue_key,venue_name,venue_name_normalized,league,team_id,team_name,season_start,season_end,city,state,country,county_fips,county_name,cbsa_code,cbsa_name,latitude,longitude,source,source_url,confidence,notes
mlb:wil02,BB&T Ballpark at Bowman Field,bb and t ballpark at bowman field,MLB,CLE,CLE,2017,2017,Williamsport,PA,United States,42081,Lycoming County,48700,"Williamsport, PA",41.2411556,-77.0011096,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: WIL02; geocode method: city_state_fallback; geocode query: Williamsport PA; county inferred from venue city/state
mlb:wil02,BB&T Ballpark at Bowman Field,bb and t ballpark at bowman field,MLB,DET,DET,2017,2017,Williamsport,PA,United States,42081,Lycoming County,48700,"Williamsport, PA",41.2411556,-77.0011096,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: WIL02; geocode method: city_state_fallback; geocode query: Williamsport PA; county inferred from venue city/state
mlb:wil02,BB&T Ballpark at Bowman Field,bb and t ballpark at bowman field,MLB,NYN,NYN,2017,2017,Williamsport,PA,United States,42081,Lycoming County,48700,"Williamsport, PA",41.2411556,-77.0011096,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: WIL02; geocode method: city_state_fallback; geocode query: Williamsport PA; county inferred from venue city/state
mlb:wil02,BB&T Ballpark at Bowman Field,bb and t ballpark at bowman field,MLB,PIT,PIT,2017,2017,Williamsport,PA,United States,42081,Lycoming County,48700,"Williamsport, PA",41.2411556,-77.0011096,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: WIL02; geocode method: city_state_fallback; geocode query: Williamsport PA; county inferred from venue city/state
mlb:wil02,BB&T Ballpark at Bowman Field,bb and t ballpark at bowman field,MLB,WAS,WAS,2017,2017,Williamsport,PA,United States,42081,Lycoming County,48700,"Williamsport, PA",41.2411556,-77.0011096,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: WIL02; geocode method: city_state_fallback; geocode query: Williamsport PA; county inferred from venue city/state
mlb:arl03,Globe Life Field in Arlington,globe life field in arlington,MLB,ALS,ALS,2020,2024,Arlington,TX,United States,48439,Tarrant County,19100,"Dallas-Fort Worth-Arlington, TX",32.7668672,-97.0990580,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: ARL03; geocode method: city_state_fallback; geocode query: Arlington TX; county inferred from venue city/state
mlb:arl03,Globe Life Field in Arlington,globe life field in arlington,MLB,ATL,ATL,2020,2020,Arlington,TX,United States,48439,Tarrant County,19100,"Dallas-Fort Worth-Arlington, TX",32.7668672,-97.0990580,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: ARL03; geocode method: city_state_fallback; geocode query: Arlington TX; county inferred from venue city/state
mlb:arl03,Globe Life Field in Arlington,globe life field in arlington,MLB,LAN,LAN,2020,2020,Arlington,TX,United States,48439,Tarrant County,19100,"Dallas-Fort Worth-Arlington, TX",32.7668672,-97.0990580,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: ARL03; geocode method: city_state_fallback; geocode query: Arlington TX; county inferred from venue city/state
mlb:arl03,Globe Life Field in Arlington,globe life field in arlington,MLB,SDN,SDN,2020,2020,Arlington,TX,United States,48439,Tarrant County,19100,"Dallas-Fort Worth-Arlington, TX",32.7668672,-97.0990580,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: ARL03; geocode method: city_state_fallback; geocode query: Arlington TX; county inferred from venue city/state
mlb:arl03,Globe Life Field in Arlington,globe life field in arlington,MLB,TBA,TBA,2020,2020,Arlington,TX,United States,48439,Tarrant County,19100,"Dallas-Fort Worth-Arlington, TX",32.7668672,-97.0990580,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: ARL03; geocode method: city_state_fallback; geocode query: Arlington TX; county inferred from venue city/state
