cbsa_code,cbsa_title,msa_block_id,msa_block_compact_id,block_population_count,block_msa_count,block_game_count,is_sparse_block,recommended_for_matching
44580,"Sterling, IL",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
45660,"Tiffin, OH",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
46500,"Urbana, OH",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
47540,"Wapakoneta, OH",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
47660,"Warrensburg, MO",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
48460,"West Plains, MO",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
48780,"Williston, ND",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
48820,"Willmar, MN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
48940,"Wilmington, OH",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
49100,"Winona, MN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
16980,"Chicago-Naperville-Elgin, IL-IN",midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,34798104,12,8754,False,True
17140,"Cincinnati, OH-KY-IN",midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,34798104,12,8754,False,True
17410,"Cleveland, OH",midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,34798104,12,8754,False,True
18140,"Columbus, OH",midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,34798104,12,8754,False,True
19820,"Detroit-Warren-Dearborn, MI",midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,34798104,12,8754,False,True
24340,"Grand Rapids-Wyoming-Kentwood, MI",midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,34798104,12,8754,False,True
